               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12379,             0.03019,                   0,           0.0016667,             0.33333,           0.0019428,          0.00035557,             0.11619,            0.031265,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12085,            0.031731,                   0,           0.0011111,             0.33333,           0.0013898,          0.00027797,             0.11507,            0.030563,                   0,            0.095495,          0.00049505,          0.00049505
                   2,             0.11557,            0.031282,                   0,           0.0033333,                   1,           0.0057294,          0.00069936,             0.10494,            0.029768,                   0,            0.092784,          0.00078416,          0.00078416
                   3,             0.10831,            0.029777,                   0,           0.0033333,                   1,            0.006958,           0.0006958,            0.092567,              0.0307,                   0,            0.090067,           0.0010673,           0.0010673
                   4,             0.10186,            0.032029,                   0,           0.0011111,             0.33333,           0.0013538,          0.00040614,            0.091139,            0.030353,                   0,            0.087345,           0.0013446,           0.0013446
                   5,            0.095352,            0.027591,                   0,           0.0022222,             0.66667,           0.0030994,          0.00061988,            0.089285,            0.029393,                   0,            0.084616,           0.0016158,           0.0016158
                   6,            0.096262,            0.030326,                   0,           0.0033333,                   1,           0.0090723,           0.0013865,            0.090424,            0.026384,                   0,            0.081881,           0.0018812,           0.0018812
                   7,            0.093279,            0.031315,                   0,           0.0022222,             0.66667,           0.0031799,          0.00062636,            0.088686,            0.025351,                   0,            0.079141,           0.0021406,           0.0021406
                   8,            0.084789,            0.029433,                   0,           0.0022222,             0.66667,           0.0030609,          0.00061217,            0.088304,             0.02521,                   0,            0.076394,           0.0023941,           0.0023941
                   9,            0.080361,            0.029549,                   0,           0.0033333,                   1,              0.0123,           0.0021853,            0.084591,            0.024663,                   0,            0.073642,           0.0026416,           0.0026416
                  10,            0.076128,            0.027593,                   0,           0.0033333,                   1,            0.060472,            0.021943,             0.07783,            0.024772,                   0,            0.070883,           0.0028832,           0.0028832
                  11,            0.073399,            0.031238,                   0,           0.0022222,             0.66667,             0.19037,            0.042897,            0.075662,            0.024503,                   0,            0.068119,           0.0031189,           0.0031189
                  12,            0.075904,            0.029602,                   0,           0.0033333,                   1,               0.228,            0.062796,            0.066331,            0.024776,                   0,            0.065349,           0.0033486,           0.0033486
                  13,            0.074062,             0.02903,                   0,           0.0033333,                   1,            0.074243,            0.022997,            0.075002,            0.021741,                   0,            0.062572,           0.0035723,           0.0035723
                  14,            0.069427,            0.022626,                   0,            0.003426,                   1,             0.10948,            0.041896,            0.069655,            0.022373,                   0,             0.05979,           0.0037902,           0.0037902
                  15,            0.066298,            0.026361,                   0,             0.45062,             0.30041,             0.22857,            0.042061,            0.067096,            0.023122,                   0,            0.057002,           0.0040021,           0.0040021
                  16,            0.064988,            0.027498,                   0,             0.48051,             0.32034,             0.20791,             0.11449,            0.063903,            0.022829,                   0,            0.054208,            0.004208,            0.004208
                  17,            0.065085,            0.024197,                   0,            0.043333,             0.33333,            0.096358,             0.03115,            0.073737,            0.019438,                   0,            0.051408,            0.004408,            0.004408
                  18,             0.06409,            0.025196,                   0,             0.05652,             0.66667,             0.19272,            0.042216,            0.067508,            0.021237,                   0,            0.048602,           0.0046021,           0.0046021
                  19,            0.061178,             0.02369,                   0,            0.042692,             0.33333,             0.13503,            0.027588,            0.074784,            0.018533,                   0,             0.04579,           0.0047902,           0.0047902
                  20,            0.059657,            0.024954,                   0,             0.19045,             0.66667,                0.36,             0.12142,              0.0645,            0.020308,                   0,            0.042972,           0.0049724,           0.0049724
                  21,            0.068391,            0.021229,                   0,            0.016299,                   1,            0.098035,            0.026126,            0.063732,            0.020062,                   0,            0.040149,           0.0051487,           0.0051487
                  22,            0.058396,            0.026618,                   0,             0.38621,                   1,             0.47393,             0.19651,             0.05957,            0.020138,                   0,            0.037319,            0.005319,            0.005319
                  23,            0.062574,            0.025472,                   0,            0.051139,                   1,             0.16491,            0.051758,            0.057001,            0.020113,                   0,            0.034483,           0.0054833,           0.0054833
                  24,            0.056624,            0.024031,                   0,             0.33786,                   1,             0.80643,             0.15951,            0.052756,            0.020668,                   0,            0.031642,           0.0056418,           0.0056418
                  25,              0.0557,            0.022781,                   0,            0.038491,             0.66667,             0.28337,             0.12188,            0.055376,            0.020494,                   0,            0.028794,           0.0057942,           0.0057942
                  26,            0.054279,              0.0262,                   0,             0.27641,             0.33333,             0.51571,             0.18388,            0.057334,            0.017797,                   0,            0.025941,           0.0059408,           0.0059408
                  27,            0.048864,            0.021139,                   0,             0.51919,             0.66667,               0.755,             0.38668,            0.050918,            0.020034,                   0,            0.023081,           0.0060814,           0.0060814
                  28,            0.056675,            0.024729,                   0,             0.51919,             0.66667,               0.755,             0.38668,            0.050918,            0.020034,                   0,            0.020216,           0.0062161,           0.0062161
                  29,            0.051455,             0.02205,                   0,             0.79401,             0.66667,             0.80643,             0.53498,            0.042825,            0.020396,                   0,            0.017345,           0.0063448,           0.0063448
                  30,            0.054291,            0.023473,                   0,              0.0153,             0.33333,            0.034407,            0.013923,            0.073671,             0.01565,                   0,            0.014468,           0.0064676,           0.0064676
                  31,            0.065942,            0.017253,                   0,              0.3249,             0.66667,             0.59075,             0.19108,            0.057073,            0.016663,                   0,            0.011584,           0.0065844,           0.0065844
                  32,            0.057219,              0.0188,                   0,              0.3249,             0.66667,             0.59075,             0.19108,            0.057073,            0.016663,                   0,           0.0086954,           0.0066954,           0.0066954
                  33,            0.049907,            0.022687,                   0,             0.32976,             0.66667,               0.645,             0.30861,             0.05068,             0.01733,                   0,            0.006733,            0.006733,            0.006733
                  34,            0.051019,            0.020592,                   0,             0.29457,             0.84496,               0.555,             0.17204,            0.054475,            0.016843,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.062882,            0.024341,                   0,             0.34724,             0.66667,             0.80643,             0.28997,            0.050388,             0.01744,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.057504,            0.021024,                   0,             0.34724,             0.66667,             0.80643,             0.28997,            0.050388,             0.01744,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.048739,            0.020875,                   0,                   1,             0.95959,               0.995,             0.39929,            0.047415,            0.018127,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.050635,            0.017841,                   0,             0.15789,                   1,             0.21378,            0.085038,            0.063692,            0.017119,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.057275,            0.018834,                   0,             0.56871,                   1,             0.74625,             0.23925,            0.051725,            0.019456,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049958,            0.020338,                   0,             0.56871,                   1,             0.74625,             0.23925,            0.051725,            0.019456,                   0,            0.006139,            0.006139,            0.006139
